Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
407,26-28,Male,70-79,Chemical.Engineering,,No,2015,1,Unmarried,,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,None,"Interactive Session;Practical Applications;Some subjects pertaining to industrial practices in chemical engineering like plant start ups, developing piping and instrument diagrams and so on",No,No,Yes,,"Chemical Engineering has a lot of opportunities in India and the Middle East in operations, with a high payscale, and a constant high demand for qualified personnel. Also, many specializations post bachelor can be pursued in universities outside India. This field has a bright future, especially if you go for masters in universities abroad.",Working,Job,Executive Process Engineer,Gas process plant design,Private,5,Office Work,0,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,80-89,80-89,Agree,Agree,Agree,Agree,Agree,9,9,8,10,10,"Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems",Analyzing information;Conducting research;Learning new facts;Developing knowledge;Designing systems,Decorating;Reading;Being Emotional;Being expressive;Being brave and daring,"Supporting others;Building relationships;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Debating ideas;Persuading, influential;Competing;Asserting ideas;Negotiating","Making charts, graphs;Writing reports;Using computer software;Conducting analyses"
408,23-25,Female,70-79,Department of Mathematics ,Department of Mathematics ,No,2017,0,Married,Software Engineer,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,None,Practical Applications,No,,Yes,,Yes,Working,Job,Senior Clerk ,Government ,Government,2,Office Work,0,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Yes,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,8,8,10,9,8,Making things work;Action-oriented activities;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge,Decorating;Designing;Reading;Being expressive,Working in groups;Communication;Collaborating,"Persuading, influential;Chairing committees;Competing","Making charts, graphs;Writing reports;Using computer software"
409,above 28,Male,50-59,Computer science and engineering ,,No,2018,3,Married,Reena,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,3,Technical/programming Skills,No,No,Yes,,I am happy with this,Working,Job,supervisor,Market,Private,1,Office Work,2,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Yes,,,,,,,,,,70-79,40-49,60-69,Neutral,Agree,Neutral,Agree,Agree,3,4,2,4,4,Fixing things;Making things work;Solving problems;Using equipment,Analyzing information;Conducting research;Collecting data;Developing knowledge,Designing;Reading;Being expressive,Supporting others;Building relationships;Communication;Listening to people;Encouraging,Competing;Taking risks;Negotiating,Writing reports;Using computer software;Creating efficiency;Following the rules
410,23-25,Male,80-89,Mathematics,Pure Mathematics,One year project in Algebraic Topology at IISER Tirupati,2017,more than 3,Unmarried,,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,more than 3,Interactive Session;Practical Applications,No,No,Yes,,I enjoy it.,Non-Working,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
411,23-25,Male,80-89,Mathematics,Pure Mathematics,One year project in Algebraic Topology at IISER Tirupati,2017,more than 3,Unmarried,,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,more than 3,Interactive Session;Practical Applications,No,No,Yes,,I enjoy it.,Non-Working,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
412,23-25,Female,70-79,Mathematics ,Mathematics ,No,2017,2,Unmarried,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,1,Like sports field ,Yes for compatative exam ,No,No,Because I want gov. Job in any field ,,Working,Job,Account /billing ,Transportation ,Private,1,Office Work,1,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,80-89,90-100,80-89,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,7,10,10,9,9,Action-oriented activities,Learning new facts,Being brave and daring,Working in groups;Supporting others;Encouraging,Taking risks,Using computer software;Following the rules
413,26-28,Male,70-79,Chemical Engineering ,,No,2015,1,Unmarried,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,None,Soft skills;Technical/programming Skills,Mba,,No,I want to get associated with reputed names like IIMs,,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,
414,23-25,Female,80-89,Mathematics,Mathematics,BEd,2018,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,3,Soft skills;Technical/programming Skills;Practical Applications,no,No,Yes,,I love mathematics,Working,Job,TGT mathematics ,school  ,Private,3,Field Work,2,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Agree,Agree,Agree,Agree,Agree,8,7,9,9,9,"Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Decorating;Designing;Writing poetry, stories;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Competing;Asserting ideas;Taking risks,"Making charts, graphs;Attention to detail;Using computer software;Creating efficiency;Performing calculations"
415,26-28,Male,60-69,Mathematics,Mathematics,No,2017,more than 3,Married,Housewife,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,more than 3,Technical/programming Skills;Practical Applications,Yes. Technical course,No,Yes,,Yes. I am so happy in my career. I am leaving my dream life.,Working,Both,Organizer,Educational,Business,3,Office Work,0,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,,,,,,,,,,70-79,90-100,70-79,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,8,5,10,10,10,"Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,Decorating;Playing instruments;Reading;Being Emotional;Being expressive,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Chairing committees;Competing;Asserting ideas;Taking risks,Keeping records;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
416,26-28,Male,60-69,Mathematics,Mathematics,No,2017,more than 3,Married,Housewife,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,more than 3,Technical/programming Skills;Practical Applications,Yes. Technical course,No,Yes,,Yes. I am so happy in my career. I am leaving my dream life.,Working,Both,Organizer,Educational,Business,3,Office Work,0,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Yes,,,,,,,,,,70-79,90-100,70-79,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,8,5,10,10,10,"Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,Decorating;Playing instruments;Reading;Being Emotional;Being expressive,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Chairing committees;Competing;Asserting ideas;Taking risks,Keeping records;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
417,26-28,Male,60-69,CHEMICAL ENGINEERING,NONE,DIPLOMA IN CHEMICAL ENGINEERING,2015,more than 3,Unmarried,,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,Soft skills,SAFETY ,No,Yes,,"Too much opportunity, wide field",Working,Job,Assistant manager,CHEMICAL COMPANY,Private,5,Field Work,1,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,No,,,,,,,,,,70-79,70-79,70-79,Disagree,Disagree,Disagree,Disagree,Disagree,8,9,9,9,8,"Making things work;Working with my hands;Repairing, refinishing",Analyzing information;Conducting research;Exploring theories;Detailed activities;Developing knowledge;Designing systems,Composing music;Designing;Reading;Being Emotional;Being brave and daring,"Building relationships;Listening to people;Collaborating;Teaching, instructing",Debating ideas;Competing;Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Attention to detail;Conducting analyses;Creating efficiency;Following the rules"
418,23-25,Male,50-59,Mathematics,Mathematics,B.Ed.,2018,3,Unmarried,,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Agree,Neutral,None,Practical Applications,No,No,Yes,,It's my passion to do work as an educator for the society,Working,Both,Higher Secondary Teacher,Education,Private,4,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Yes,,,,,,,,,,70-79,70-79,70-79,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,2,6,10,8,9,Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Collecting data;Designing systems,"Composing music;Playing instruments;Writing poetry, stories;Reading;Being Emotional;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Using computer software;Conducting analyses;Creating efficiency"
419,26-28,Male,50-59,Mathematics,Mathematics,No,2018,1,Unmarried,,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,more than 3,Practical Applications,No,,Yes,,It will give me happiness for what i m right now.,Working,Both,As a tutor,Coaching Classes,Business,5,Office Work,0,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,No,,,,,,,,,,70-79,70-79,70-79,Disagree,Disagree,Agree,Agree,Disagree,2,3,4,3,2,Action-oriented activities;Working with my hands;Solving problems;Using equipment,Learning new facts;Detailed activities;Developing knowledge;Designing systems,"Decorating;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
420,23-25,Male,60-69,Bhavnagar University,Mathematics,No,2018,1,Unmarried,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,more than 3,Interactive Session,No,No,Yes,,My interest fields,Working,Job,Account officer,Auditor,Government,1,Office Work,1,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,,,,,,,,,,80-89,80-89,60-69,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,6,4,10,9,5,Making things work;Solving problems,Learning new facts;Detailed activities;Developing knowledge,"Writing poetry, stories;Reading;Being brave and daring",Working in groups;Supporting others;Building relationships;Encouraging,Speaking in public;Debating ideas;Taking risks;Negotiating,Attention to detail;Conducting analyses;Creating efficiency;Following the rules
421,26-28,Male,50-59,Chemical Engineering,,No,2015,more than 3,Married,Teacher,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,more than 3,Technical/programming Skills;Practical Applications,Certified course of Value Investing,,No,I have some other strength then by current disciple.,,Working,Both,Senior Executive,Chemical,Private,5,Field Work,more than 3,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,4,8,10,10,10,"Producing tangible results;Fixing things;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Decorating;Reading;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Asserting ideas;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Writing reports;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
422,above 28,Male,70-79,Mathematics,Mathematics,No,2017,more than 3,Married,Teacher,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,more than 3,Technical/programming Skills,No,,Yes,,I like,Working,Both,Teacher,School,Private,5,Field Work,more than 3,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Yes,,,,,,,,,,80-89,70-79,70-79,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,3,2,3,2,2,Solving problems,Learning new facts,"Writing poetry, stories","Teaching, instructing",Speaking in public,Performing calculations
423,Below 23,Female,60-69,Statistics,Statistics,No,2018,2,Unmarried,,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Soft skills,,Yes,,Because it is my passion,Working,Job,Statistical operational analyst ,Market research,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,8,9,10,9,10,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Solving problems",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Decorating;Designing;Writing poetry, stories;Being brave and daring",Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging,"Debating ideas;Persuading, influential;Competing;Asserting ideas;Taking risks","Keeping records;Making charts, graphs;Using computer software;Conducting analyses"
424,26-28,Male,50-59,Mathematics,,No,2014,1,Unmarried,,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,3,Interactive Session,No,No,Yes,,Because it's likely profession,Working,Both,Asst teacher,School,Private,3,Office Work,0,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Agree,Neutral,Agree,Agree,Disagree,8,9,9,5,9,Action-oriented activities,Collecting data;Detailed activities,Playing instruments;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Debating ideas;Chairing committees;Asserting ideas;Taking risks,Keeping records;Attention to detail
425,23-25,Male,50-59,MATHEMATICS,MATHEMATICS,No,2018,0,Unmarried,,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,None,Technical/programming Skills;Practical Applications,No,No,No,"For teaching, b.sc -m.sc is not enough.we need to have b.ed degree.",,Working,Job,Teacher,Education,Private,4,Office Work,0,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Disagree,Strongly Agree,Disagree,Agree,8,9,10,9,10,"Action-oriented activities;Solving problems;Repairing, refinishing",Solving abstract problems;Analyzing information;Learning new facts;Exploring theories,Reading;Being expressive,"Supporting others;Communication;Listening to people;Teaching, instructing;Coaching, training",Speaking in public;Competing;Taking risks,Keeping records;Attention to detail;Using computer software;Conducting analyses;Performing calculations
426,23-25,Female,70-79,Mathematics,Pure Mathematics,GNIIT,2017,1,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Practical Applications,Practical experiences and exposures can help a lot,,Yes,,Because it has given me an identity and an opportunity to work towards a better future for the country,Working,Job,Mathematics teacher,Teaching,Private,3,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,No,,,,,,,,,,70-79,70-79,70-79,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,7,6,9,7,9,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Learning new facts;Detailed activities;Designing systems,Decorating;Designing;Reading,"Working in groups;Supporting others;Building relationships;Listening to people;Collaborating;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Asserting ideas,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
427,26-28,Male,50-59,Mathematics(MKBU - Bhavnagar),Mathematics(MSU-Baroda),No,2018,more than 3,Unmarried,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly disagree,Neutral,Agree,Strongly Agree,Agree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,B Ed,,Yes,,I like my work...i m happy with this,Working,Both,Teacher,School ,Private,3,Office Work,0,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes,,,,,,,,,,60-69,50-59,70-79,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,10,10,9,9,"Working with my hands;Solving problems;Repairing, refinishing",Solving abstract problems;Learning new facts;Collecting data;Developing knowledge,"Decorating;Writing poetry, stories;Reading","Working in groups;Building relationships;Communication;Listening to people;Teaching, instructing",Speaking in public;Taking risks;Being an entrepreneur,"Making charts, graphs;Performing calculations;Following the rules"
428,26-28,Male,60-69,Textile Engineering,NA,NA,2014,3,Unmarried,,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,2,Soft skills,"Marketing , business analysis .",No,Yes,,Comfortable with the current work.,Working,Job,Sr. Sales Engineer,Sales and Marketing,Private,5,Field Work,0,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,No,,,,,,,,,,80-89,90-100,80-89,Agree,Strongly Agree,Agree,Neutral,Agree,9,6,8,9,10,Fixing things;Making things work;Solving problems,Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge,Composing music;Decorating;Playing instruments;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Coaching, training","Persuading, influential;Asserting ideas;Negotiating","Keeping records;Making charts, graphs;Conducting analyses;Following the rules"
429,23-25,Female,80-89,Mathematics,Mathematics,No,2018,more than 3,Unmarried,,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,more than 3,Technical/programming Skills;Practical Applications,"Yes, knowledge of applied mathematics",,Yes,,"Since childhood, teaching is my passion.",Working,Job,Lecturer,Teaching,Government,2,Field Work,0,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,10,3,10,8,2,"Producing tangible results;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems",Solving abstract problems;Conducting research;Learning new facts;Exploring theories;Developing knowledge;Designing systems,"Decorating;Writing poetry, stories;Reading;Being Emotional","Supporting others;Listening to people;Encouraging;Teaching, instructing",Speaking in public;Competing;Taking risks;Negotiating,"Keeping records;Making charts, graphs;Using computer software;Performing calculations;Following the rules"
430,23-25,Female,50-59,Mathematics,Mathematics,Bachelor of education from another University,2017,more than 3,Married,Job,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Soft skills,No,No,Yes,,Bcz my goal is become teacher ,Non-Working,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,
431,23-25,Female,60-69,Science Department (mathematics) ,Science Department (Pure Maths) ,no,2017,2,Unmarried,,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,1,Technical/programming Skills;Practical Applications,done,No,No,instresred in compitative exams ,,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
432,Below 23,Male,60-69,Chemistry ,,No ,2018,0,Unmarried,,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,2,Interactive Session;Practical Applications,No,No,Yes,,Because I have developed Intrest in the field I had done my bachelor's in. And the career is quite fascinating as well and I interesting and includes industrial work as well so I m surly going to continue in my field only. ,Non-Working,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,,,
433,Below 23,Male,70-79,Chemistry ,Chemistry,No,2018,2,Unmarried,,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,None,Soft skills;Technical/programming Skills;Practical Applications,None,No,Yes,,I like what I'm doing.,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,,,,,,,,,,,,,,,,,,,
434,26-28,Female,60-69,Mathematics,Hngu,No,2018,more than 3,Married,Police ,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,None,Practical Applications,No,No,Yes,,Bcoz of my interest ,Working,Job,Teacher,Education,Government,2,Office Work,0,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Disagree,No,,,,,,,,,,70-79,70-79,70-79,Agree,Neutral,Strongly Agree,Disagree,Neutral,7,6,10,10,8,Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Learning new facts;Exploring theories;Collecting data;Developing knowledge,"Designing;Writing poetry, stories;Reading;Being brave and daring","Working in groups;Supporting others;Communication;Listening to people;Encouraging;Teaching, instructing;Coaching, training",Taking risks,"Keeping records;Making charts, graphs;Using computer software"
435,23-25,Male,50-59,Kamani science college amreli,Msu department,B.ed.,2018,1,Unmarried,,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Yes i need,No,Yes,,Because this is not end ,Working,Job,Lecturer ,Teaching,Private,3,Office Work,0,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,1,2,1,3,2,Working with my hands;Solving problems,Solving abstract problems;Collecting data;Detailed activities;Developing knowledge,Playing instruments;Reading;Being brave and daring,"Working in groups;Communication;Listening to people;Encouraging;Teaching, instructing",Competing;Taking risks,Writing reports;Attention to detail;Creating efficiency;Following the rules
